n,pattern,seed,policy,C_N_online,c_star_N,r,r_star,r_ss,n_feasible,k,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires
5,A,42,nearest_neighbor,27.9776,26.453,1.0576,3.0129,1.1663,31,5,True,-1.436819,True,False
5,A,42,cheapest_insertion,26.453,26.453,1.0,3.0129,1.1663,31,5,True,-2.199115,True,False
5,A,42,batch_reoptimize,26.453,26.453,1.0,3.0129,1.1663,31,5,True,-2.199115,True,False
5,A,123,nearest_neighbor,28.4109,27.3123,1.0402,2.9295,1.3378,31,5,True,-2.107621,True,False
5,A,123,cheapest_insertion,27.369,27.3123,1.0021,2.9295,1.3378,31,5,True,-2.94113,True,False
5,A,123,batch_reoptimize,27.3123,27.3123,1.0,2.9295,1.3378,31,5,True,-2.986527,True,False
5,A,7,nearest_neighbor,36.905,30.1723,1.2231,2.5319,1.3167,31,5,False,1.76872,True,False
5,A,7,cheapest_insertion,30.1723,30.1723,1.0,2.5319,1.3167,31,5,True,-3.599352,True,False
5,A,7,batch_reoptimize,30.1723,30.1723,1.0,2.5319,1.3167,31,5,True,-3.599352,True,False
5,A,99,nearest_neighbor,27.1603,25.713,1.0563,3.0608,1.2331,31,5,True,-2.272692,True,False
5,A,99,cheapest_insertion,25.713,25.713,1.0,3.0608,1.2331,31,5,True,-2.996322,True,False
5,A,99,batch_reoptimize,25.713,25.713,1.0,3.0608,1.2331,31,5,True,-2.996322,True,False
5,A,256,nearest_neighbor,27.5698,23.1085,1.1931,2.1502,1.1835,31,5,False,0.844427,True,True
5,A,256,cheapest_insertion,23.1085,23.1085,1.0,2.1502,1.1835,31,5,True,-2.120641,True,False
5,A,256,batch_reoptimize,23.1085,23.1085,1.0,2.1502,1.1835,31,5,True,-2.120641,True,False
5,B1,42,nearest_neighbor,30.3261,26.453,1.1464,3.0129,1.737,17,5,True,-4.412532,True,False
5,B1,42,cheapest_insertion,30.3261,26.453,1.1464,3.0129,1.737,17,5,True,-4.412532,True,False
5,B1,42,batch_reoptimize,30.3261,26.453,1.1464,3.0129,1.737,17,5,True,-4.412532,True,False
5,B1,123,nearest_neighbor,33.9406,27.3123,1.2427,2.9295,1.5006,17,5,True,-3.522789,True,False
5,B1,123,cheapest_insertion,27.369,27.3123,1.0021,2.9295,1.5006,17,5,True,-6.808573,True,False
5,B1,123,batch_reoptimize,27.369,27.3123,1.0021,2.9295,1.5006,17,5,True,-6.808573,True,False
5,B1,7,nearest_neighbor,31.4785,30.1723,1.0433,2.5319,1.3785,17,5,True,-5.057164,True,False
5,B1,7,cheapest_insertion,33.1491,30.1723,1.0987,2.5319,1.3785,17,5,True,-4.221852,True,False
5,B1,7,batch_reoptimize,31.4785,30.1723,1.0433,2.5319,1.3785,17,5,True,-5.057164,True,False
5,B1,99,nearest_neighbor,26.8395,25.713,1.0438,3.0608,1.6459,17,5,True,-6.025268,True,False
5,B1,99,cheapest_insertion,25.713,25.713,1.0,3.0608,1.6459,17,5,True,-6.025268,True,False
5,B1,99,batch_reoptimize,25.713,25.713,1.0,3.0608,1.6459,17,5,True,-6.025268,True,False
5,B1,256,nearest_neighbor,27.4286,23.1085,1.1869,2.1502,1.4259,17,5,True,-2.760649,True,False
5,B1,256,cheapest_insertion,24.8756,23.1085,1.0765,2.1502,1.4259,17,5,True,-4.037157,True,False
5,B1,256,batch_reoptimize,24.8756,23.1085,1.0765,2.1502,1.4259,17,5,True,-4.037157,True,False
5,B2,42,nearest_neighbor,30.3261,26.453,1.1464,3.0807,1.737,17,5,True,-6.206266,True,False
5,B2,42,cheapest_insertion,30.3261,26.453,1.1464,3.0807,1.737,17,5,True,-6.206266,True,False
5,B2,42,batch_reoptimize,30.3261,26.453,1.1464,3.0807,1.737,17,5,True,-6.206266,True,False
5,B2,123,nearest_neighbor,33.9406,27.3123,1.2427,2.9952,,13,4,True,-6.763545,False,False
5,B2,123,cheapest_insertion,27.369,27.3123,1.0021,2.9952,,13,4,True,-8.954067,False,False
5,B2,123,batch_reoptimize,27.369,27.3123,1.0021,2.9952,,13,4,True,-8.954067,False,False
5,B2,7,nearest_neighbor,37.0149,31.1095,1.1898,2.5605,,13,4,True,-6.076238,False,False
5,B2,7,cheapest_insertion,33.1491,31.1095,1.0656,2.5605,,13,4,True,-7.364834,False,False
5,B2,7,batch_reoptimize,33.1491,31.1095,1.0656,2.5605,,13,4,True,-7.364834,False,False
5,B2,99,nearest_neighbor,26.8395,25.713,1.0438,3.177,1.6459,17,5,True,-7.740535,True,False
5,B2,99,cheapest_insertion,25.713,25.713,1.0,3.177,1.6459,17,5,True,-8.30379,True,False
5,B2,99,batch_reoptimize,25.713,25.713,1.0,3.177,1.6459,17,5,True,-8.30379,True,False
5,B2,256,nearest_neighbor,27.4286,23.1085,1.1869,2.2444,,9,3,True,-3.726685,False,False
5,B2,256,cheapest_insertion,26.9724,23.1085,1.1672,2.2444,,9,3,True,-4.400152,False,False
5,B2,256,batch_reoptimize,26.9724,23.1085,1.1672,2.2444,,9,3,True,-4.400152,False,False
5,B5,42,nearest_neighbor,37.4397,31.8322,1.1762,3.2836,,9,3,True,-12.206266,False,False
5,B5,42,cheapest_insertion,37.4397,31.8322,1.1762,3.2836,,9,3,True,-12.206266,False,False
5,B5,42,batch_reoptimize,37.4397,31.8322,1.1762,3.2836,,9,3,True,-12.206266,False,False
5,B5,123,nearest_neighbor,33.7089,28.4395,1.1853,3.4634,,6,2,True,-11.923247,False,False
5,B5,123,cheapest_insertion,33.7089,28.4395,1.1853,3.4634,,6,2,True,-11.923247,False,False
5,B5,123,batch_reoptimize,33.7089,28.4395,1.1853,3.4634,,6,2,True,-11.923247,False,False
5,B5,7,nearest_neighbor,34.42,33.8622,1.0165,2.9726,,6,2,True,-13.247425,False,False
5,B5,7,cheapest_insertion,34.42,33.8622,1.0165,2.9726,,6,2,True,-13.247425,False,False
5,B5,7,batch_reoptimize,34.42,33.8622,1.0165,2.9726,,6,2,True,-13.247425,False,False
5,B5,99,nearest_neighbor,42.5956,29.9541,1.422,3.3691,,6,2,True,-11.664839,False,False
5,B5,99,cheapest_insertion,42.5956,29.9541,1.422,3.3691,,6,2,True,-11.664839,False,False
5,B5,99,batch_reoptimize,42.5956,29.9541,1.422,3.3691,,6,2,True,-11.664839,False,False
5,B5,256,nearest_neighbor,34.2778,29.1981,1.174,2.7647,,6,2,True,-7.200076,False,False
5,B5,256,cheapest_insertion,34.2778,29.1981,1.174,2.7647,,6,2,True,-7.200076,False,False
5,B5,256,batch_reoptimize,34.2778,29.1981,1.174,2.7647,,6,2,True,-7.200076,False,False
5,C,42,nearest_neighbor,27.2289,26.453,1.0293,3.0129,1.6439,17,5,True,-4.412532,True,False
5,C,42,cheapest_insertion,27.2289,26.453,1.0293,3.0129,1.6439,17,5,True,-4.412532,True,False
5,C,42,batch_reoptimize,27.2289,26.453,1.0293,3.0129,1.6439,17,5,True,-4.412532,True,False
5,C,123,nearest_neighbor,34.0349,27.3123,1.2461,2.9295,1.5006,17,5,True,-3.475628,True,False
5,C,123,cheapest_insertion,27.4634,27.3123,1.0055,2.9295,1.5006,17,5,True,-6.761412,True,False
5,C,123,batch_reoptimize,27.4634,27.3123,1.0055,2.9295,1.5006,17,5,True,-6.761412,True,False
5,C,7,nearest_neighbor,40.7564,30.1723,1.3508,2.5319,1.5574,17,5,True,-3.117084,True,False
